mint,slot,status,origin,fee_payer,signature,solscan_url
AfvyJ26CfbEyBzuTYAzkSgBDndU4755QVYzGDqJQng8p,417715084,OK,OURS,7eWDSEg62QABZzd9L1ZUxk1uS2Yqs7GvwGVZZ61RThic,4xqMrjzzbigRjzNbmpfE7ck4mCLHNGLrb2s7onevbezHRzh1nGWk8Xtn98PAv1Ndw9hrPR5mtbhdAPgFCkv4fDbV,https://solscan.io/tx/4xqMrjzzbigRjzNbmpfE7ck4mCLHNGLrb2s7onevbezHRzh1nGWk8Xtn98PAv1Ndw9hrPR5mtbhdAPgFCkv4fDbV
AfvyJ26CfbEyBzuTYAzkSgBDndU4755QVYzGDqJQng8p,417715084,OK,OURS,2V7eGvkSE3NxyyJXSsWXNytjw3FpdUriScCx6vNGcqgm,2ADYsVC2E2aVy1kB7nz3kLZijoQzKKJ5eZ3WsNyHiYNtv7WMCcQendYJVtaR5vXvjZdxhyifijCcUHXEiLkm6gSx,https://solscan.io/tx/2ADYsVC2E2aVy1kB7nz3kLZijoQzKKJ5eZ3WsNyHiYNtv7WMCcQendYJVtaR5vXvjZdxhyifijCcUHXEiLkm6gSx
AfvyJ26CfbEyBzuTYAzkSgBDndU4755QVYzGDqJQng8p,417715080,OK,OURS,2pei1uVZSrayqz2oakjEkDwnUPxYf9qGNTMN5aZkgTbq,NLH11FDqW8uH5axiTrGijwhA5qL8zEB2VhG7eTUsUGKcJ9UG6jG3kL94a6WffozTzNh2PTzo4rKD5apA68u534C,https://solscan.io/tx/NLH11FDqW8uH5axiTrGijwhA5qL8zEB2VhG7eTUsUGKcJ9UG6jG3kL94a6WffozTzNh2PTzo4rKD5apA68u534C
AfvyJ26CfbEyBzuTYAzkSgBDndU4755QVYzGDqJQng8p,417715080,OK,OURS,7CYs7Qa3sbjdj6dBMDdnCJYabgAALK5VcPibyYnBEj1U,5dYxwdxTo7TSy3RPHZypb2M9pm1MbrX7eminXfGLcSRvxjyiEfnJmQxBGd6JLep1b4TBY1r9CCi5bb1JheWXQPPS,https://solscan.io/tx/5dYxwdxTo7TSy3RPHZypb2M9pm1MbrX7eminXfGLcSRvxjyiEfnJmQxBGd6JLep1b4TBY1r9CCi5bb1JheWXQPPS
AfvyJ26CfbEyBzuTYAzkSgBDndU4755QVYzGDqJQng8p,417715077,OK,OURS,5VaNyF4EEXGT4AoW4DwtcrEegSLWyhvxvoEqMcMeQdiA,2bt837QTD88EWYgdMxYbUzU7xZU7chWpDZhn7g77ecWAVJ8Smgug4vttBUXUxMYxkexsGFMN8yyBtj4esEuWhoDE,https://solscan.io/tx/2bt837QTD88EWYgdMxYbUzU7xZU7chWpDZhn7g77ecWAVJ8Smgug4vttBUXUxMYxkexsGFMN8yyBtj4esEuWhoDE
AfvyJ26CfbEyBzuTYAzkSgBDndU4755QVYzGDqJQng8p,417715077,OK,OURS,APMxwBehww8JSXGT8FKo4BSJTp6MQXPvu2RG8tcQVoyA,cQxosF9n2VXLWY5VaPJX8G11ZeiREjFqcFF1wzo7cvrfPMZZSe3ULC1hfgSk5m4j3L6Nro8x15dCEJuZB2oBMMT,https://solscan.io/tx/cQxosF9n2VXLWY5VaPJX8G11ZeiREjFqcFF1wzo7cvrfPMZZSe3ULC1hfgSk5m4j3L6Nro8x15dCEJuZB2oBMMT
AfvyJ26CfbEyBzuTYAzkSgBDndU4755QVYzGDqJQng8p,417715074,OK,OURS,2u8sha5GhbcRRtvrToFfXXGrWGtMe1e2qdp83BcfYRFx,22iyS4heANF4yMcWFpkYkrbrVF4EQ1jQFaTQECfciutAmtipD6zbzfEGumsH6QjQsfCPK97omkrPiy4MfDJaxa1Y,https://solscan.io/tx/22iyS4heANF4yMcWFpkYkrbrVF4EQ1jQFaTQECfciutAmtipD6zbzfEGumsH6QjQsfCPK97omkrPiy4MfDJaxa1Y
AfvyJ26CfbEyBzuTYAzkSgBDndU4755QVYzGDqJQng8p,417715074,OK,OURS,2V7eGvkSE3NxyyJXSsWXNytjw3FpdUriScCx6vNGcqgm,5DsQmwG99bmZTYPAzDiZZNoHx5DQJ6NMnmrrzHgz4Rg6QogAZ6dCuPje87L7iKPcCkWWU3GjkRo2cgxAPQcNcGCB,https://solscan.io/tx/5DsQmwG99bmZTYPAzDiZZNoHx5DQJ6NMnmrrzHgz4Rg6QogAZ6dCuPje87L7iKPcCkWWU3GjkRo2cgxAPQcNcGCB
AfvyJ26CfbEyBzuTYAzkSgBDndU4755QVYzGDqJQng8p,417715070,OK,OURS,GYPXZ9NCixqERGoAHFrpGiVpftTTLTBGABW2j4pGTTXL,4YvbdMZNr2kJHLdvYXZgG8W6ZntG2rGFEMru12jmxpW75eUFDtoydMV1jXi6gCa2D3XnYXVLTcSdv1GebChTzNu6,https://solscan.io/tx/4YvbdMZNr2kJHLdvYXZgG8W6ZntG2rGFEMru12jmxpW75eUFDtoydMV1jXi6gCa2D3XnYXVLTcSdv1GebChTzNu6
AfvyJ26CfbEyBzuTYAzkSgBDndU4755QVYzGDqJQng8p,417715070,OK,OURS,7CYs7Qa3sbjdj6dBMDdnCJYabgAALK5VcPibyYnBEj1U,3T1XeGxyzzP2GhKAxhKiUaQNzFF1QnDeSH97S66RPaQNBnWZTA3LNav6GpdHGSd8kWaD8MzDozYqrXvZrXCgbfTe,https://solscan.io/tx/3T1XeGxyzzP2GhKAxhKiUaQNzFF1QnDeSH97S66RPaQNBnWZTA3LNav6GpdHGSd8kWaD8MzDozYqrXvZrXCgbfTe
